date,empty_beds,recovered,death,active,empty_ven,new,ppe_stock,zone
2020-04-23,692,6,1,30,43,5,174,Chandanagar
2020-04-24,802,6,1,31,4,5,20,Chandanagar
2020-04-25,99,6,1,36,32,6,3,Chandanagar
2020-04-26,4442,6,1,36,1,6,20,Chandanagar
2020-04-21,410,6,1,39,2,6,15,Kukatpally
2020-04-22,27,2,1,7,47,6,33,Kukatpally
2020-04-23,193,2,1,8,3,6,43,Kukatpally
2020-04-24,208,2,1,7,37,6,4,Kukatpally
2020-04-25,1176,2,1,8,28,6,3,Kukatpally
2020-04-26,930,2,1,10,15,6,20,Kukatpally
2020-04-21,0,3,1,12,29,6,15,Moosapet
2020-04-22,169,5,1,17,23,8,33,Moosapet
2020-04-23,10,5,1,26,42,8,43,Moosapet
2020-04-24,5,5,1,29,53,15,4,Moosapet
2020-04-25,0,5,1,29,1,18,32,Moosapet
2020-04-26,17,6,1,30,51,19,1,Moosapet
2020-04-21,364,6,1,31,70,21,2,Ramachandra Puram / Patancheru
2020-04-22,609,6,1,36,9,21,47,Ramachandra Puram / Patancheru
2020-04-23,705,6,1,36,13,21,3,Ramachandra Puram / Patancheru
2020-04-24,56,6,1,39,9,25,37,Ramachandra Puram / Patancheru
2020-04-25,519,2,1,7,11,2,28,Ramachandra Puram / Patancheru
2020-04-26,2471,2,1,8,35,2,15,Ramachandra Puram / Patancheru
2020-04-21,981,2,1,10,4,2,29,Serilingampally
2020-04-22,9,3,1,12,28,3,23,Serilingampally
2020-04-23,334,5,1,17,33,5,42,Serilingampally
2020-04-24,273,5,1,26,4,5,53,Serilingampally
2020-04-25,23,5,1,29,32,5,1,Serilingampally
2020-04-26,143,5,1,29,15,5,51,Serilingampally
2020-04-21,56,6,1,30,9,2,70,Hayathnagar
2020-04-22,21,6,1,31,174,2,9,Hayathnagar
2020-04-23,1655,6,1,36,20,2,13,Hayathnagar
2020-04-24,3,6,1,36,3,3,9,Hayathnagar
2020-04-25,510,6,1,39,20,5,11,Hayathnagar
2020-04-26,602,2,1,7,15,5,35,Hayathnagar
2020-04-21,24,2,1,8,33,5,4,Kapra
2020-04-22,692,2,1,10,43,5,28,Kapra
2020-04-23,802,3,1,12,4,6,33,Kapra
2020-04-24,99,5,1,17,32,6,4,Kapra
2020-04-25,4442,5,1,26,1,6,32,Kapra
2020-04-26,410,5,1,29,2,6,15,Kapra
2020-04-21,27,5,1,29,47,6,9,LB Nagar
2020-04-22,193,6,1,30,3,6,174,LB Nagar
2020-04-23,208,6,1,31,37,6,20,LB Nagar
2020-04-24,1176,6,1,36,28,6,3,LB Nagar
2020-04-25,930,6,1,36,15,6,20,LB Nagar
2020-04-26,0,2,1,7,29,8,15,LB Nagar
2020-04-21,169,2,1,8,23,8,33,Saroornagar
2020-04-22,10,2,1,10,42,15,43,Saroornagar
2020-04-23,5,3,1,12,53,18,4,Saroornagar
2020-04-24,0,5,1,17,1,19,3,Saroornagar
2020-04-25,17,5,1,26,51,21,20,Saroornagar
2020-04-26,364,5,1,29,70,21,3,Saroornagar
2020-04-21,609,5,1,29,9,21,20,Uppal
2020-04-22,705,6,1,30,13,25,15,Uppal
2020-04-23,56,6,1,31,9,2,33,Uppal
2020-04-24,519,6,1,36,11,2,43,Uppal
2020-04-25,2471,6,1,36,35,2,4,Uppal
2020-04-26,981,6,1,39,4,3,32,Uppal
2020-04-21,9,2,1,7,28,5,1,Amberpet
2020-04-22,334,2,1,8,33,5,2,Amberpet
2020-04-23,273,2,1,10,4,5,47,Amberpet
2020-04-24,23,3,1,12,32,5,3,Amberpet
2020-04-25,143,5,1,17,15,6,37,Amberpet
2020-04-26,56,5,1,26,9,6,28,Amberpet
2020-04-21,21,5,1,29,174,6,15,Goshamahal
2020-04-22,1655,5,1,29,20,6,29,Goshamahal
2020-04-23,3,6,1,30,3,2,23,Goshamahal
2020-04-24,510,6,1,31,20,2,42,Goshamahal
2020-04-25,602,6,1,36,15,2,53,Goshamahal
2020-04-26,24,6,1,36,33,3,1,Goshamahal
2020-04-21,692,2,1,7,43,5,51,Jubilee Hills
2020-04-22,802,2,1,8,4,5,70,Jubilee Hills
2020-04-23,99,2,1,10,32,5,9,Jubilee Hills
2020-04-24,4442,3,1,12,1,5,13,Jubilee Hills
2020-04-25,410,5,1,17,2,6,9,Jubilee Hills
2020-04-26,27,5,1,26,47,6,11,Jubilee Hills
2020-04-21,193,5,1,29,3,6,35,Karwan
2020-04-22,208,5,1,29,37,6,4,Karwan
2020-04-23,1176,6,1,30,28,6,28,Karwan
2020-04-24,930,6,1,31,15,6,33,Karwan
2020-04-25,0,6,1,36,29,6,4,Karwan
2020-04-26,169,6,1,36,23,6,32,Karwan
2020-04-21,10,6,1,39,42,6,15,Khairatabad
2020-04-22,5,2,1,7,53,8,9,Khairatabad
2020-04-23,0,2,1,8,1,8,174,Khairatabad
2020-04-24,17,2,1,10,51,15,20,Khairatabad
2020-04-25,364,3,1,12,70,18,3,Khairatabad
2020-04-26,609,5,1,17,9,19,20,Khairatabad
2020-04-21,705,5,1,26,13,21,15,Mehdipatnam
2020-04-22,56,5,1,29,9,21,33,Mehdipatnam
2020-04-23,519,5,1,29,11,21,43,Mehdipatnam
2020-04-24,2471,6,1,30,35,25,4,Mehdipatnam
2020-04-25,981,6,1,31,4,2,3,Mehdipatnam
2020-04-26,9,6,1,36,28,2,174,Mehdipatnam
2020-04-21,334,6,1,36,33,2,20,Musheerabad
2020-04-22,273,6,1,39,4,3,3,Musheerabad
2020-04-23,23,2,1,7,32,5,20,Musheerabad
2020-04-24,143,2,1,8,15,5,15,Musheerabad
2020-04-25,56,2,1,10,9,5,33,Musheerabad
2020-04-26,21,3,1,12,174,5,43,Musheerabad
2020-04-21,1655,5,1,17,20,6,4,Yousufguda
2020-04-22,3,5,1,26,174,6,3,Yousufguda
2020-04-23,21,5,1,29,20,6,174,Yousufguda
2020-04-24,1655,5,1,29,3,6,4,Yousufguda
2020-04-25,3,6,1,30,20,6,3,Yousufguda
2020-04-26,21,6,1,31,15,6,174,Yousufguda
